excavators,pc170lc-11,Komatsu SAA4D107E-3* Tier 4 Final,"Water-cooled, 4-cycle, direct injection","Variable geometry turbocharged,  aftercooled, cooled EGR",4,107 mm x 124 mm,4.46 ltr,,,2100,Mechanical with viscous fan clutch,EPA Tier 4,HydrauMind (Hydraulic Mechanical Intelligence),6,Variable capacity piston type,"Boom, arm, bucket, swing, and travel circuits",312 ltr/min,2 x piston motors with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,156 kN 15950 kgf,3.0 km/h / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydraulic motor,Planetary gear,Grease-bathed,,12 rpm,300 ltr,,18.0 ltr,,4.5 ltr,121 ltr,29.6 ltr,"17,710 – 18,390 kg",33 kgf/cm3,Bore x Stroke x Rod Diameter,2-110 mm x 1175 mm x 75 mm,1-120 mm x 1342 mm x 85 mm,1-105 mm x 1027 mm x 70 mm,70%,Mechanical disc brake,,Box-section,Sealed track,Hydraulic,44,2,7,500 mm Triple grouser,,,5.4 ltr,,,8690,,1990,,,,,,,,5960.0,8690.0,8800.0,2545.0,,,,,,,,,,90 kW / 121 HP,85 kW / 114 HP,X-frame leg,27.3 ltr,4760,2490,3020,1055,5.15,2.62,80.4,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc18mr-3,Komatsu 3D67E-2,Swirl Chamber,,3,,0.78 ltr,11.2 kW,11.2 kW,2600,Mechanical,EPA Tier 3,HydrauMind System,,Variable displacement pump,"Boom, arm, bucket, swing, and travel circuits",95.9 ltr/min,2 x Variable capacity,1 x Fixed capacity,,,,Two levers with pedals,Fully hydrostatic,1700 kg,2.3 / 4.3 km/h,Hydraulic lock,,Hydraulic motor,,,Hydraulic lock,8.9 rpm,19 ltr,3.1 ltr,3.3 ltr,,,15.2 ltr,None,"1,780 kg",,,,,,58 %,,,,,Grease,35,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc200-lc-8m0,Komatsu SAA6D107E-1,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",6,107 mm x 124 mm,6.69 ltr,110 kW / 147 HP,103 kW / 138 HP,2000,Mechanical,EPA Tier 3,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",439 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,178 kN 18200 kgf,3.0/ 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,12.4 rpm,400 ltr,20.4 ltr,23.1 ltr,,6.5 ltr,135 ltr,None,,33 kgf/cm3,Bore x Stroke x Rod diameter,2-120 mm x 1334 mm x 85 mm,1-135 mm x 1490 mm x 95 mm,1-115 mm x 1120 mm x 80 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,45 - 49,2,7 - 9,600 mm Triple grouser,,,3.6 ltr,,,9425,3275,2200,2800,3040,440,5.70 standard,2.925 standard,11000,15200,6620,9875,9700,2750,,,,,,,,,,,,,,,,,,,,,,"20,940 - 21,180 kg","21,720 - 21,960 kg",PC200-8M0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc2000-8,Komatsu SAA12V140E-3,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",12,140 mm x 165 mm,30.48 ltr,728 kW / 976 HP,713 kW / 956 HP,1800,Hydraulic,EPA Tier 2,Open-center load-sensing System,2,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",,2 x axial piston motor with parking brake,2 x axial piston motor with swing holding brake,300 kgf/cm3,335 kgf/cm3,300 kgf/cm3,,,,1.7 / 2.7 km/h,,Mechanical disc brake,,,Grease,,5.8 rpm,3400 ltr,180 ltr,120 ltr,,2 x 30 ltr,1300 ltr,None,"195,000 - 204,120 kg",30 kgf/cm3,Bore x Stroke x Rod diameter,2- 300 mm x 2647 mm,2- 250 mm x 2138 mm,2-200 mm x 2170 mm,65 %,,,,,Grease,49,3,8,,,,,,,,,,,,,,,,,,,,,,2317 ltr/min,324 ltr/min,2-180 mm x 600 mm,30 ltr,,,,,,,,,,,,,,,,,,,,2 x axial piston motors,Planetary gear,2 x Planetary gear,Mechanical disc brakes,85 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc210-lc-11,Komatsu SAA6D107E-3,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,107 mm x 124 mm,6.69 ltr,122.8 kW / 165 HP,118.6 kW / 159 HP,2000,Mechanical with viscous fan clutch,EPA Tier 4,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",490 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,202 kN 20570 kgf,3.0/ 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,12.4 rpm,400 ltr,30.7 ltr,23.1 ltr,,6.5 ltr,132 ltr,23.1 ltr,,33 kgf/cm3,Bore x Stroke x Rod diameter,2-130 mm x 1334 mm x 90 mm,1-135 mm x 1490 mm x 95 mm,1-115 mm x 1120 mm x 80 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,49,2,9,600 mm triple grouser,,,5.0 ltr,,,9705,3275,2200,2800,3045,440,5.7 standard,2.9 standard,11000,15200,6620,9875,9700,3020,,,,,,,,6900 kgm,,,,,,,,,,,,,,,,PC210-11,,,,,,234 ltr,"22,410 – 23,180 kg","23,000 – 23,830 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc210lci-10,Komatsu SAA6D107E-2,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,107 mm x 124 mm,6.69 ltr,123 kW / 165 HP,118 kW / 158 HP,2000,Mechanical,EPA Tier 4 interim,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",475 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,202 kN 20570 kgf,3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,12.4 rpm,400 ltr,30.7 ltr,23.1 ltr,,6.5 ltr,135 ltr,None,"23,330 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-130 mm x 1334 mm x 90 mm,1-135 mm x 1490 mm x 95 mm,1-115 mm x 1120 mm x 80 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,49,2,9,600 mm triple grouser,,,5.0 ltr,,,9625,3655,2380,2980,3045,440,5.70 standard,2.9 standard,11000,15200,6620,9875,9700,2940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc220-lc-8m0,Komatsu SAA6D107LE-1,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",6,107 mm x 124 mm,6.69 ltr,129 kW / 147 HP,123 kW / 164 HP,2000,Mechanical,EPA Tier 3,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",439 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,202 kN 20570 kgf,3.1 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,11.7 rpm,400 ltr,19.9 ltr,23.1 ltr,,7.2 ltr,135 ltr,None,,33 kgf/cm3,Bore x Stroke x Rod diameter,2-130 mm x 1335 mm x 90 mm,1-145 mm x 1635 mm x 100 mm,1-130 mm x 1020 mm x 90 mm,70 %,Mechanical disc brake,X-frame leg,Box-bathed,Sealed track,Hydraulic,47 - 51,2,8 - 10,600 mm triple grouser,,,5.0 ltr,,,9885,3460,2380,2980,3185,440,5.85 standard,3.045 standard,13200,17500,6920,10180,10020,2940,,,,,,,,,,,,,,,,,,,,,,,,PC220-8M0,,,,,,,,,"24,110 - 24,440 kg","24,860 - 25,190 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc228us-lc-11,Komatsu SAA6D107E-3,"Water-cooled, 4-cycle","Turbocharged, aftercooled",6,107 mm x 124 mm,6.69 ltr,123 kW / 165 HP,123 kW / 165 HP,2000,,EPA Tier 4,Closed-centre system with load sensing,,Variable capacity piston type,"Boom, arm, bucket, swing, and travel circuits",490 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,299 kgf/cm3,Two levers with pedals,Fully hydrostatic,202 kN 20600 kgf,3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydraulic motor,Planetary gear,Grease-bathed,,11.0 rpm,290 ltr,28.3 ltr,23.1 ltr,,6.5 ltr,126 ltr,13 ltr,,33 kgf/cm3,Bore x Stroke x Rod diameter,2-130 mm x 1385 mm x 90 mm,1-135 mm x 1490 mm x 95 mm,1-115 mm x 1120 mm x 80 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,49,2,9,600 mm triple grouser,,,5.0 ltr,,,8830,3460,2380,2980,3080,440,5.7 standard,2.9 standard,11000,15200,6620,9875,9700,2310,,,,,,,,,,,,,,,,,,,,,,,,PC228US-11,,,,,,,,,,,"23,520 - 24,300 kg","23,890 - 24,670 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc228us-lc-8,Komatsu SAA6D107E-1,"Water-cooled, 4-cycle","Turbocharged, aftercooled",6,107 mm x 124 mm,6.69 ltr,116 kW / 155 HP,110 kW / 148 HP,2000,,EPA Tier 3,HydrauMind System,,Variable capacity piston type,"Boom, arm, bucket, swing, and travel circuits",428 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,355 kgf/cm3,380 kgf/cm3,290 kgf/cm3,Two levers with pedals,Fully hydrostatic,202 kN 20600 kgf,3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydraulic motor,Planetary gear,Grease-bathed,Hydraulic lock,,320 ltr,21.0 ltr,23.1 ltr,,7.1 ltr,126 ltr,None,,33 kgf/cm3,Bore x Stroke x Rod diameter,2-120 mm x 1385 mm,1-135 mm x 1490 mm,1-115 mm x 1120 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,45 - 49,2,7 - 9,600 mm triple grouser,,,5.2 ltr,,,8700,3275,2200,2800,3050,440,5.7 standard,2.925 standard,11000,15200,6620,9875,9700,1680,,,,,,,,,,,,,,,,,,,,,,,,PC228US-8,,,,,,,,,,,,,"23,070 - 23,210 kg","25,610 - 25,750 kg","23,750 - 23,990 kg","26,430 - 26,670 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc240lc-11,Komatsu SAA6D107LE-3,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, Cooled EGR",6,107 mm x 124 mm,6.69 ltr,141 kW / 189 HP,132 kW / 177 HP,2000,Mechanical,EPA Tier 4,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",490 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,202 kN 20570 kgf,3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,11.7 rpm,400 ltr,36 ltr,23.1 ltr,,7.2 ltr,132 ltr,23.1 ltr,"25,380 - 26,240 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-135 mm x 1335 mm x 95 mm,1-140 mm x 1635 mm x 100 mm,1-130 mm x 1020 mm x 90 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,51,2,10,600 mm tripe grouser,,,5.0 ltr,,,9965,3845,2580,3180,3185,440,5.9 standard,3.0 standard,13200,17500,6920,10180,10020,3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000 mm,5900 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc270-lc-8,Komatsu SAA6D107E-1,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",6,107 mm x 124 mm,6.69 ltr,149 kW / 200 HP,140 kW / 187 HP,2050,Mechanical,EPA Tier 3,HydrauMind System,4,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",450 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,249 kN 25400 kgf,3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,10.5 rpm,400 ltr,20.6 ltr,23.1 ltr,,8.2 ltr,132 ltr,None,,33 kgf/cm3,Bore x Stroke x Rod diameter,2-140 mm x 1300 mm x 100 mm,1-150 mm x 1635 mm x 110 mm,1-140 mm x 1009 mm x 100 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,45 - 48,2,7 - 8,600 mm triple grouser,,,8.5 ltr,,,9860,3700,2590,3190,3205,498,5.85 standard,3.45 standard,14100,20200,6460,10100,9990,2940,,,,,,,,,,,,,,,,,,,,,,,,PC270-8,,,,,,,,,,,,,,,,,,,"27,850 - 28,320 kg","28,870 - 29,340 kg",PC270-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc290lc-11,Komatsu SAA6D107E-3,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,107 mm x 124 mm,6.69 ltr,159 kW / 213 HP,147 kW / 196 HP,2050,Mechanical,EPA Tier 4,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",490 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,"249 kN 25,400 kgf",3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,10.5 rpm,400 ltr,36 ltr,23.1 ltr,,7.2 ltr,132 ltr,23.1 ltr,"29,800 - 31,210 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-140 mm x 1300 mm x 100 mm,1-150 mm x 1635 mm x 110 mm,1-140 mm x 1009 mm x 100 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,48,2,8,600 mm triple grouser,,,8.0 ltr,,,10265,4955,2590,3190,3295,495,6.15 standard,3.2 standard,13600,20200,6910,10710,10450,3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc300-lc-8m0,Komatsu SAA6D114E-3,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",6,114 mm x 135 mm,8.27 ltr,194 kW / 260 HP,187 kW / 250 HP,1950,Mechanical,EPA Tier 3,HydrauMind System,6,Two variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",535 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,285 kgf/cm3,Two levers with pedals,Fully hydrostatic,264 kN 26900 kgf,3.2 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,9.5 rpm,605 ltr,31 ltr,37 ltr,,16.5 ltr,188 ltr,None,,33 kgf/cm3,Bore x Stroke x Rod diameter,2-140 mm x 1480 mm x 100 mm,1-160 mm x 1825 mm x 110 mm,1-140 mm x 1285 mm x 100 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,45 - 48,2,7 - 8,600 mm triple grouser,,,9.0 ltr,,,11150,3700,2590,3190,3285,500,6.47 standard,3.2 standard,17400,23200,7380,11100,10920,3450,,,,,,,,,,,,,,,,,,,,,,,,PC300-8M0,,,,,,,,,,,,,,,,,,,,,,"33,490- 33,870 kg","34,140 - 34,520 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc3000-6,Komatsu SSA12V159,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",12,,,,895 kW / 1200 HP,1800,,EPA Tier 2,Diesel or electric motor,,,,,,,,,,,,,,Hydraulic brake,"Wet, multiple-disc",,,,,4.6 rpm,"4,500 ltr",254 ltr,190 ltr,,,,None,"250,000 - 261,000 kg",,,,,,57 %,,,,,Automatic Hydraulic type,46,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400 ltr",,,,,,,,,,,,,,,,,,12,940 kW / 1260 HP,3 x 910 ltr/min,800 ltr/min,200 microns,Squirrel cage induction motor,900 kW,6.000 - 7.200 V,96 A - 80 A,60 Hz @ 1800 rpm,50 Hz @ 1500 rpm,2 foot pedals,Max 2.4 km/h,24 V,4 x 12 V,140 A,12 Xenon lights,throughout the platform,1,Hydraulic brake,"Wet, multiple-disc",External,"2,900 ltr",15m3,18m3,,,,,,,,,
excavators,pc30mr-5,Komatsu 3D88E-7,"Water-cooled, 4-cycle, direct injection",Cooled EGR,3,88 mm x 90 mm,1.642 ltr,18.2 kW,17.4 kW,2200,Mechanical,EPA Tier 4 Final,HydrauMind System,2,"Variable displacement, axial piston","Boom, arm, bucket, and travel circuits",69.8 ltr/min,2 x axial piston motors with parking brake,1 x axial piston motor with swing holding brake,265 kgf/cm3,265 kgf/cm3,220 kgf/cm3,Two levers with pedals,Fully hydrostatic,33.2 kN 3400 kgf,2.6 / 4.6 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,9 rpm,40.6 ltr,3.3 ltr,6.7 ltr,,,34 ltr,None,"3,150 - 3,300 kg",32 kgf/cm3,Bore x Stroke x Rod diameter,1-80 mm x 550 mm x 45 mm,1-75 mm x 495 mm x 45 mm,1-65 mm x 490 mm x 40 mm,30 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,44,1,4,,,,0.6 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
