wheel-loaders_wa100m-8e0,wheel-loaders_wa100m-8e0_SPECS-1,wheel-loaders_wa100m-8e0_SPECS-2,wheel-loaders_wa1200-6,wheel-loaders_wa1200-6_SPECS-1,wheel-loaders_wa1200-6_SPECS-2,wheel-loaders_wa150-5,wheel-loaders_wa150-5_SPECS-1,wheel-loaders_wa200-8,wheel-loaders_wa200-8_SPECS-1,wheel-loaders_wa200pz-6,wheel-loaders_wa200pz-6_SPECS-1,wheel-loaders_wa250pz-6,wheel-loaders_wa250pz-6_SPECS-1,wheel-loaders_wa270-8,wheel-loaders_wa270-8_SPECS-1,wheel-loaders_wa270-8_SPECS-2,wheel-loaders_wa320-8,wheel-loaders_wa320-8_SPECS-1,wheel-loaders_wa320-8_SPECS-2,wheel-loaders_wa320pz-6,wheel-loaders_wa320pz-6_SPECS-1,wheel-loaders_wa380-6,wheel-loaders_wa380-6_SPECS-1,wheel-loaders_wa380-6_SPECS-2,wheel-loaders_wa380-8,wheel-loaders_wa380-8_SPECS-1,wheel-loaders_wa380-8_SPECS-2,wheel-loaders_wa430-6,wheel-loaders_wa430-6_SPECS-1,wheel-loaders_wa430-6_SPECS-2,wheel-loaders_wa470-7,wheel-loaders_wa470-7_SPECS-1,wheel-loaders_wa470-7_SPECS-2,wheel-loaders_wa470-8,wheel-loaders_wa470-8_SPECS-1,wheel-loaders_wa470-8_SPECS-2,wheel-loaders_wa480-6,wheel-loaders_wa480-6_SPECS-1,wheel-loaders_wa480-6_SPECS-2,wheel-loaders_wa500-7,wheel-loaders_wa500-7_SPECS-1,wheel-loaders_wa500-7_SPECS-2,wheel-loaders_wa500-8-yl,wheel-loaders_wa500-8-yl_SPECS-1,wheel-loaders_wa500-8-yl_SPECS-2,wheel-loaders_wa600-6,wheel-loaders_wa600-6_SPECS-1,wheel-loaders_wa600-6_SPECS-2,wheel-loaders_wa600-8-lc,wheel-loaders_wa600-8-lc_SPECS-1,wheel-loaders_wa600-8-lc_SPECS-2,wheel-loaders_wa70-7,wheel-loaders_wa70-7_SPECS-1,wheel-loaders_wa70-7_SPECS-2,wheel-loaders_wa700-3,wheel-loaders_wa700-3_SPECS-1,wheel-loaders_wa700-3_SPECS-2,wheel-loaders_wa800-3e0,wheel-loaders_wa800-3e0_SPECS-1,wheel-loaders_wa800-3e0_SPECS-2,wheel-loaders_wa900-8r,wheel-loaders_wa900-8r_SPECS-1,wheel-loaders_wa900-8r_SPECS-2
Steering System | Smallest turn (outer edge of  tyre 455/70 R20),4.130 mm,,"Service Refill Capacities | Differential, final drive, axle rear",670 ltr,,Service Refill Capacities | Axle front,14 ltr,Service Refill Capacities  | Cooling system,26.5 ltr,Service Refill Capacities | Engine,15.5 ltr,Service Refill Capacities | Engine,23 ltr,Service Refill Capacities | Fuel tank,186 ltr,,Service Refill Capacities | Fuel tank,245 ltr,,Service Refill Capacities | Fuel tank,245 ltr,Service Refill Capacities | Fuel tank,300 ltr,,Service Refill Capacities | Fuel tank,300 ltr,,Service Refill Capacities | Fuel tank,325 ltr,,Service Refill Capacities | Fuel tank,380 ltr,,Service Refill Capacities | Fuel tank,380 ltr,,Service Refill Capacities | Fuel tank,413 ltr,,Service Refill Capacities | Fuel tank,473 ltr,,Service Refill Capacities | Fuel tank,473 ltr,,Service Refill Capacities | Fuel tank,718 ltr,,Service Refill Capacities | Fuel tank,718 ltr,,Transmission | Travel speed,Forward & Reverse,Forward & Reverse,Steering System | Minimum turning radius at centre of outside tyre,8280 mm,,Service Refill Capacities | Engine,130 ltr,,Service Refill Capacities | Hydraulic system,1020 ltr,
Cabin | Cabin in conformity with ISO 3471 with ROPS (roll over protective structure) in conformity with SAE J1040c and FOPS (falling object protective structure) in conformity with ISO 3449. The pressurised cabin is mounted upon hydro-bearings and is noise dampened. Tiltable for best servicing access.,,,Service Refill Capacities | Torque converter and transmission,350 ltr,,Service Refill Capacities | Axle rear,14.5 ltr,Service Refill Capacities  | Fuel tank,177 ltr,Service Refill Capacities | Hydraulic system,58 ltr,Service Refill Capacities | Hydraulic system,67 ltr,Service Refill Capacities | Engine,23 ltr,,Service Refill Capacities | Engine,23 ltr,,Service Refill Capacities | Engine,23 ltr,Service Refill Capacities | Engine,23 ltr,,Service Refill Capacities | Engine,23 ltr,,Service Refill Capacities | Engine,30 ltr,,Service Refill Capacities | Engine,38 ltr,,Service Refill Capacities | Engine,38 ltr,,Service Refill Capacities | Engine,38 ltr,,Service Refill Capacities | Engine,37 ltr,,Service Refill Capacities | Engine,37 ltr,,Service Refill Capacities | Engine,86 ltr,,Service Refill Capacities | Engine,86 ltr,,Transmission | 1st,0 - 5 km/h,0 - 5 km/h,Transmission | Torque converter,"Three-elements, single-stage, single-phase","Three-elements, single-stage, single-phase",Service Refill Capacities | Hydraulic system,725 ltr,,Service Refill Capacities | Axle front,370 ltr,
,,,Service Refill Capacities | Brake oil,75 ltr,,Service Refill Capacities | Transmission,4.4 ltr,Service Refill Capacities  | Engine,15.5 ltr,Service Refill Capacities | Axle front,18 ltr,Service Refill Capacities | Axle front,18 ltr,Service Refill Capacities | Hydraulic system,80 ltr,,Service Refill Capacities | Hydraulic system,92 ltr,,Service Refill Capacities | Hydraulic system,89 ltr,Service Refill Capacities | Hydraulic system,139 ltr,,Service Refill Capacities | Hydraulic system,142 ltr,,Service Refill Capacities | Hydraulic system,139 ltr,,Service Refill Capacities | Hydraulic system,173 ltr,,Service Refill Capacities | Hydraulic system,173 ltr,,Service Refill Capacities | Hydraulic system,173 ltr,,Service Refill Capacities | Hydraulic system,337 ltr,,Service Refill Capacities | Hydraulic system,337 ltr,,Service Refill Capacities | Hydraulic system,443 ltr,,Service Refill Capacities | Hydraulic system,443 ltr,,Transmission | 2nd,0 - 20 km/h,0 - 20 km/h,Transmission | Transmission,"Full-powershift, automatic planetary type","Full-powershift, automatic planetary type",Service Refill Capacities | Axle front,360 ltr,,Service Refill Capacities | Axle rear,370 ltr,
,,,Service Refill Capacities | Brake cooling,290 ltr,,Steering System | Type,"Articulated type, fully hydraulic power steering",Service Refill Capacities  | Hydraulic system,58 ltr,Service Refill Capacities | Axle rear,18 ltr,Service Refill Capacities | Axle rear,18 ltr,Service Refill Capacities | Axle front,18.5 ltr,,Service Refill Capacities | Axle front,27 ltr,,Service Refill Capacities | Axle front,24 ltr,Service Refill Capacities | Axle front,40 ltr,,Service Refill Capacities | Axle front,40 ltr,,Service Refill Capacities | Axle front,49 ltr,,Service Refill Capacities | Axle front,57 ltr,,Service Refill Capacities | Axle front,57 ltr,,Service Refill Capacities | Axle front,59 ltr,,Service Refill Capacities | Axle front,95 ltr,,Service Refill Capacities | Axle front,95 ltr,,Service Refill Capacities | Axle front,155 ltr,,Service Refill Capacities | Axle front,185 ltr,,Tyres | Standard tyres,12.5-R18,,Transmission | Travel speed,Forward,Reverse,Service Refill Capacities | Axle rear,360 ltr,,Service Refill Capacities | Torque converter and transmission,180 ltr,
,,,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Steering angle,40° each direction,Service Refill Capacities  | Axle front,18.5 ltr,Service Refill Capacities | Transfer case,5 ltr,Service Refill Capacities | Transfer case,5 ltr,Service Refill Capacities | Axle rear,18 ltr,,Service Refill Capacities | Axle rear,25.5 ltr,,Service Refill Capacities | Axle rear,24 ltr,Service Refill Capacities | Axle rear,40 ltr,,Service Refill Capacities | Axle rear,40 ltr,,Service Refill Capacities | Axle rear,40 ltr,,Service Refill Capacities | Axle rear,56 ltr,,Service Refill Capacities | Axle rear,56 ltr,,Service Refill Capacities | Axle rear,59 ltr,,Service Refill Capacities | Axle rear,95 ltr,,Service Refill Capacities | Axle rear,95 ltr,,Service Refill Capacities | Axle rear,155 ltr,,Service Refill Capacities | Axle rear,193 ltr,,Weights | Operating weight,"5,035 - 5,380 kg",,Transmission | 1st gear,6.4 km/h,7.1 km/h,Service Refill Capacities | Torque converter and transmission,140 ltr,,Steering System | Type,"Articulated type, full-hydraulic power steering",
,,,Steering System | Steering angle,40° each direction,,Steering System | Minimum turning radius at centre of outside tyre,4470 mm,Service Refill Capacities  | Axle rear,18 ltr,Steering System | Type,"Articulated type, fully hydraulic power steering",Steering System | Type,"Articulated type, fully hydraulic power steering",Service Refill Capacities | Transfer case,7 ltr,,Service Refill Capacities | Transfer case,5.8 ltr,,Service Refill Capacities | Transfer case,6.5 ltr,Service Refill Capacities | Torque converter and transmission,38 ltr,,Service Refill Capacities | Torque converter and transmission,54 ltr,,Service Refill Capacities | Torque converter and transmission,54 ltr,,Service Refill Capacities | Torque converter and transmission,65 ltr,,Service Refill Capacities | Torque converter and transmission,65 ltr,,Service Refill Capacities | Torque converter and transmission,65 ltr,,Service Refill Capacities | Torque converter and transmission,71 ltr,,Service Refill Capacities | Torque converter and transmission,71 ltr,,Service Refill Capacities | Torque converter and transmission,83 ltr,,Service Refill Capacities | Torque converter and transmission,78 ltr,,,,,Transmission | 2nd gear,11.1 km/h,12.2 km/h,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Steering angle,40° each direction,
,,,Steering System | Minimum turning radius at centre of outside tyre,14330 mm,,Transmission | Transmission,"Hydrostatic, 1 pump, 2 motors with speed range select",Service Refill Capacities  | Transfer case,5 ltr,Steering System | Steering angle,38° each direction (40° to max end stop),Steering System | Steering angle,38° each direction (40° to max end stop),Service Refill Capacities | DEF tank,14 ltr,,Service Refill Capacities | DEF tank,14 ltr,,Steering System | Type,"Articulated type, fully hydraulic power steering",Steering System | Type,"Articulated type, fully hydraulic power steering",,Service Refill Capacities | DEF tank,36 ltr,,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Type,"Articulated type, fully hydraulic power steering",,Service Refill Capacities | DEF tank,36 ltr,,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Type,"Articulated type, fully hydraulic power steering",,Service Refill Capacities | DEF tank,36 ltr,,Steering System | Type,"Articulated type, fully hydraulic power steering",,Service Refill Capacities | DEF tank,60 ltr,,,,,Transmission | 3rd gear,18.7 km/h,20.5 km/h,Steering System | Steering angle,40° each direction,,Steering System | Minimum turning radius at centre of outside tyre,9880 mm,
,,,Transmission | Torque converter,"Three-elements, single-stage, single-phase","Three-elements, single-stage, single-phase",Transmission | Travel speed,Forward & Reverse,Service Refill Capacities  | DEF tank,14 ltr,Steering System | Minimum turning radius at centre of outside tyre,5100 mm,Steering System | Minimum turning radius at centre of outside tyre,5175 mm,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Steering angle,38.5° each direction (40° to max end stop),Steering System | Steering angle,35° each direction (40° to max end stop),,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Steering angle,35° each direction (40° to max end stop),,Steering System | Steering angle,35° each direction (40° to max end stop),,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Steering angle,35° each direction (40° to max end stop),,Steering System | Steering angle,36° each direction (40° to max end stop),,Steering System | Type,"Articulated type, fully hydraulic power steering",,Steering System | Steering angle,43° each direction,,Steering System | Type,"Articulated type, fully hydraulic power steering",,,,,Transmission | 4th gear,30.0 km/h,32.3 km/h,Steering System | Minimum turning radius at centre of outside tyre,9200 mm,,Transmission | Torque converter,"3-element, 1-stage, 1-phase","3-element, 1-stage, 1-phase"
,,,Transmission | Transmission,"Full-powershift, planetary type with modulated clutch","Full-powershift, planetary type with modulated clutch",Transmission | 1st,4.6 - 13.0 km/h,Steering System | Type,"Articulated type, fully-hydraulic power steering",Transmission | Transmission,"Hydrostatic, 1 pump, 2 motors with speed range select",Transmission | Transmission,"Hydrostatic, 1 pump, 2 motors with speed range select",Steering System | Steering angle,38° each direction (40° to max end stop),,Steering System | Steering angle,38.5° each direction (40° to max end stop),,Steering System | Minimum turning radius at centre of outside tyre,5380 mm,Steering System | Minimum turning radius at centre of outside tyre,6320 mm,,Steering System | Steering angle,35° each direction (40° to max end stop),,Steering System | Minimum turning radius at centre of outside tyre,6335 mm,,Steering System | Minimum turning radius at centre of outside tyre,6630 mm,,Steering System | Steering angle,35° each direction (40° to max end stop),,Steering System | Minimum turning radius at centre of outside tyre,6630 mm,,Steering System | Minimum turning radius at centre of outside tyre,7050 mm,,Steering System | Steering angle,36° each direction (40° to max end stop),,Steering System | Minimum turning radius at centre of outside tyre,7075 mm,,Steering System | Steering angle,43° each direction,,,,,"Transmission | Measured with 40/65-39, 36PR (L5) tyres",,,Transmission | Torque converter,"Three-elements, single-stage, single-phase","Three-elements, single-stage, single-phase",Transmission | Transmission,"Full-powershift, planetary type","Full-powershift, planetary type"
,,,Transmission | Travel speed,Forward,Reverse,Transmission | 2nd,13.0 km/h,Steering System | Steering angle,38° each direction (40° to max end stop),Transmission | Travel speed,Forward & Reverse,Transmission | Travel speed,Forward & Reverse,Steering System | Minimum turning radius at centre of outside tyre,5175 mm,,Steering System | Minimum turning radius at centre of outside tyre,5380 mm,,Transmission | Transmission,"Hydrostatic, 1 pump, 2 motors with speed range select",Transmission | Torque converter,"Three-elements, one-stage, one-phase","Three-elements, one-stage, one-phase",Steering System | Minimum turning radius at centre of outside tyre,6320 mm,,Transmission | Torque converter,"Three-elements, single-stage, single-phase","Three-elements, single-stage, single-phase",Transmission | Torque converter,"Three-elements, one-stage, two-phase","Three-elements, one-stage, two-phase",Steering System | Minimum turning radius at centre of outside tyre,6630 mm,,Transmission | Torque converter,"Three-elements, single-stage, single-phase","Three-elements, single-stage, single-phase",Transmission | Torque converter,"Three-elements, one-stage, two-phase","Three-elements, one-stage, two-phase",Steering System | Minimum turning radius at centre of outside tyre,7050 mm,,Transmission | Torque converter,"Three-elements, one-stage, two-phase","Three-elements, one-stage, two-phase",Steering System | Minimum turning radius at centre of outside tyre,7075 mm,,,,,Tyres | Standard tyres,45/65 R39 L5 tyres,,Transmission | Transmission,"Full-powershift, planetary type","Full-powershift, planetary type",Transmission | Travel speed,Forward,Reverse
,,,Transmission | 1st gear,6.1 km/h,6.3 km/h,Transmission | 3rd,20.0 km/h,Steering System | Minimum turning radius at  centre of outside tyre,"4880 mm 16' 0""",Transmission | 1st,4.4 - 14.3 km/h,Transmission | 1st,4.0 - 13.0 km/h,Transmission | Transmission,"Hydrostatic, 1 pump, 2 motors with speed range select","Hydrostatic, 1 pump, 2 motors with speed range select",Transmission | Transmission,"Hydrostatic, 1 pump, 2 motors with speed range select","Hydrostatic, 1 pump, 2 motors with speed range select",Transmission | Travel speed,Forward & Reverse,Transmission | Transmission,"Automatic, full-powershift, countershaft type","Automatic, full-powershift, countershaft type",Transmission | Torque converter,"Three-elements, one-stage, two-phase","Three-elements, one-stage, two-phase",Transmission | Transmission,"Automatic, full-powershift, countershaft type","Automatic, full-powershift, countershaft type",Transmission | Transmission,"Automatic, full-powershift, countershaft type","Automatic, full-powershift, countershaft type",Transmission | Torque converter,"Three-elements, one-stage, two-phase","Three-elements, one-stage, two-phase",Transmission | Transmission,"Automatic, full-powershift, countershaft type","Automatic, full-powershift, countershaft type",Transmission | Transmission,"Full-powershift, planetary type","Full-powershift, planetary type",Transmission | Torque converter,"Three-elements, one-stage, two-phase","Three-elements, one-stage, two-phase",Transmission | Transmission,"Full-powershift, planetary type","Full-powershift, planetary type",Transmission | Torque converter,"Three-elements, one-stage, two-phase","Three-elements, one-stage, two-phase",,,,Weights | Operating weight,"71,020 - 73,000 kg",,Transmission | Travel speed,Forward,Reverse,Transmission | 1st gear,7.6 km/h,7.9 km/h
,,,Transmission | 2nd gear,11.1 km/h,11.4 km/h,Transmission | 4th,38.0 km/h,Transmission | Transmission,"Hydrostatic, 1 pump, 2 motors with speed range select",Transmission | 2nd,14.3 km/h,Transmission | 2nd,13.0 km/h,Transmission | Travel speed,Forward,Reverse,Transmission | Travel speed,Forward,Reverse,Transmission | 1st,4.0 - 13.0 km/h,Transmission | Travel speed,Forward,Reverse,Transmission | Transmission,"Automatic, full-powershift, countershaft type","Automatic, full-powershift, countershaft type",Transmission | Travel speed,Forward,Reverse,Transmission | Travel speed,Forward,Reverse,Transmission | Transmission,"Automatic, full-powershift, countershaft type","Automatic, full-powershift, countershaft type",Transmission | Travel speed,Forward,Reverse,Transmission | Travel speed,Forward,Reverse,Transmission | Transmission,"Full-powershift, planetary type","Full-powershift, planetary type",Transmission | Travel speed,Forward,Reverse,Transmission | Transmission,"Automatic full-powershift, planetary type","Automatic full-powershift, planetary type",,,,,,,Transmission | 1st gear,7.0 km/h,7.1 km/h,Transmission | 2nd gear,11.9 km/h,12.1 km/h
,,,Transmission | 3rd gear,18.7 km/h,19.3 km/h,Transmission | Measured with 16.9-R24 tyres,,Transmission | Travel speed,Forward & Reverse,Transmission | 3rd,22.0 km/h,Transmission | 3rd,18.0 km/h,Transmission | 1st,1.0 - 13.0 km/h,1.0 - 13.0 km/h,Transmission | 1st,1.0 - 13.0 km/h,1.0 - 13.0 km/h,Transmission | 2nd,13.0 km/h,Transmission | 1st gear,6.0 km/h,6.5 km/h,Transmission | Travel speed,Forward,Reverse,Transmission | 1st gear,7.0 km/h,7.6 km/h,Transmission | 1st gear,7.6 km/h,7.9 km/h,Transmission | Travel speed,Forward,Reverse,Transmission | 1st gear,7.7 km/h,7.9 km/h,Transmission | 1st gear,7.5 km/h,8.5 km/h,Transmission | Travel speed,Forward,Reverse,Transmission | 1st gear,6.7 km/h,7.3 km/h,Transmission | Travel speed,Forward,Reverse,,,,,,,Transmission | 2nd gear,12.3 km/h,12.4 km/h,Transmission | 3rd gear,23.3 km/h,24.1 km/h
,,,Transmission | Measured with 60/80 R57 tyres,,,Tyres | Standard tyres,16.9-R24,Transmission | 1st,0 - 14.3 km/h  0 - 8.9 mph,Transmission | 4th,38.0 km/h,Transmission | 4th,38.0 km/h,Transmission | 2nd,13.0 km/h,13.0 km/h,Transmission | 2nd,13.0 km/h,13.0 km/h,Transmission | 3rd,18.7 km/h,Transmission | 2nd gear,10.6 km/h,11.3 km/h,Transmission | 1st gear,6.6 km/h,7.1 km/h,Transmission | 2nd gear,12.3 km/h,12.9 km/h,Transmission | 2nd gear,13.1 km/h,13.5 km/h,Transmission | 1st gear,7.6 km/h,7.9 km/h,Transmission | 2nd gear,13.1 km/h,13.5 km/h,Transmission | 2nd gear,12.9 km/h,12.9 km/h,Transmission | 1st gear,7.5 km/h,8.5 km/h,Transmission | 2nd gear,11.7 km/h,12.8 km/h,Transmission | 1st gear,6.7 km/h,7.3 km/h,,,,,,,Transmission | 3rd gear,28.0 km/h,28.3 km/h,Transmission | Measured with 45/65 R45 tyres,,
,,,Tyres | Standard rims,47.00-57/5.0,,Weights | Operating weight,"7,410 - 7,495 kg",Transmission | 2nd,14.3 km/h  8.9 mph,Transmission | Measured with 20.5-25 tyres,,Transmission | Measured with 20.5-25 tyres,,Transmission | 3rd,19.0 km/h,19.0 km/h,Transmission | 3rd,18.7 km/h,18.7 km/h,Transmission | 4th,38.0 km/h,Transmission | 3rd gear,18.6 km/h,19.9 km/h,Transmission | 2nd gear,11.7 km/h,12.4 km/h,Transmission | 3rd gear,21.6 km/h,23.0 km/h,Transmission | 2nd gear (Lock-up clutch ON),13.2 km/h,13.7 km/h,Transmission | 2nd gear,13.1 km/h,13.5 km/h,Transmission | 3rd gear,22.9 km/h,23.6 km/h,Transmission | 2nd gear (Lock-up clutch ON),13.1 km/h,13.0 km/h,Transmission | 2nd gear,12.9 km/h,12.9 km/h,Transmission | 2nd gear (Lock-up clutch ON),12.4 km/h,-,Transmission | 2nd gear,11.7 km/h,12.8 km/h,,,,,,,Transmission | Measured with 45/65-45-46 tyres,,,Tyres | Standard tyres,45/65R45 (L-5) tubeless,
,,,Tyres | Standard tyres,60/80R57,,,,Transmission | 3rd,23.2 km/h  14.4 mph,Tyres | Standard tyres,"20.5-25-12PR, L2 tubeless",Tyres | Standard tyres,"20.5-25-16PR, L2 tubeless",Transmission | 4th,38.0 km/h,38.0 km/h,Transmission | 4th,38.0 km/h,38.0 km/h,Transmission | Measured with 20.5-25 tyres,,Transmission | 4th gear,31.1 km/h,33.0 km/h,Transmission | 2nd gear (Lock-up clutch ON),12.4 km/h,13.3 km/h,Transmission | 4th gear,37.2 km/h,37.2 km/h,Transmission | 3rd gear,22.9 km/h,23.6 km/h,Transmission | 2nd gear (Lock-up clutch ON),13.2 km/h,13.7 km/h,Transmission | 4th gear,36.3 km/h,37.4 km/h,Transmission | 3rd gear,22.2 km/h,24.7 km/h,Transmission | 2nd gear (Lock-up clutch ON),13.1 km/h,13.1 km/h,Transmission | 3rd gear,20.3 km/h,22.0 km/h,Transmission | 2nd gear (Lock-up clutch ON),12.4 km/h,13.5 km/h,,,,,,,Tyres | Standard tyres,45/65-45-46PR L5 tubeless,,Weights | Operating weight,116400 kg,
,,,Weights | Operating weight,"216,400 - 220,550 kg",,,,Transmission | 4th,38.0 km/h  23.6 mph,Weights | Operating weight,"10,970 - 11,450 kg",Weights | Operating weight,"11,950 - 12,690 kg",Transmission | Measured with 20.5-R25 tyres,,,Transmission | Measured with 20.5-R25 tyres,,,Tyres | Standard tyres,"20.5-25-12PR, L2 tubeless",Transmission | Measured with 20.5-25 tyres,,,Transmission | 3rd gear,20.9 km/h,22.3 km/h,Transmission | Measured with 23.5-25 tyres,,,Transmission | 3rd gear (Lock-up clutch ON),23.6 km/h,24.3 km/h,Transmission | 3rd gear,22.9 km/h,23.6 km/h,Transmission | Measured with 26.5-25 tyres,,,Transmission | 3rd gear (Lock-up clutch ON),23.7 km/h,26.6 km/h,Transmission | 3rd gear,22.2 km/h,24.7 km/h,Transmission | 3rd gear (Lock-up clutch ON),21.7 km/h,-,Transmission | 3rd gear,20.3 km/h,22.0 km/h,,,,,,,Weights | Operating weight,"101,900 - 104,500 kg",,,,
,,,,,,,,Transmission | Measured with 20.5-R25 tires,,,,,,Tyres | Standard tyres,20.5-R25,,Tyres | Standard tyres,20.5-R25,,Weights | Operating weight,"15,280 kg",Tyres | Standard tyres,"20.5-25-16PR, L3 tubeless",,Transmission | 3rd gear (Lock-up clutch ON),22.4 km/h,24.1 km/h,Tyres | Standard tyres,"23.5-25-16PR, L3 tubeless",,Transmission | 4th gear,36.2 km/h,37.3 km/h,Transmission | 3rd gear (Lock-up clutch ON),23.6 km/h,24.3 km/h,Tyres | Standard tyres,26.5-25-20PR tubeless,,Transmission | 4th gear,35.5 km/h,38.0 km/h,Transmission | 3rd gear (Lock-up clutch ON),23.7 km/h,26.6 km/h,Transmission | 4th gear,33.8 km/h,37.0 km/h,Transmission | 3rd gear (Lock-up clutch ON),21.7 km/h,23.7 km/h,,,,,,,,,,,,
,,,,,,,,Tyres | Standard tyres,20.5R25 L3 Radials,,,,,Weights | Operating weight,"12,795 - 13,190 kg",,Weights | Operating weight,"15,480 - 15,870 kg",,,,Weights | Operating weight,"18,630 kg",,Transmission | 4th gear,36.1 km/h,38.6 km/h,Weights | Operating weight,"19,305 kg",,Transmission | 4th gear (Lock-up clutch ON),38.3 km/h,39.0 km/h,Transmission | 4th gear,36.2 km/h,37.3 km/h,Weights | Operating weight,"25,780 kg",,Transmission | 4th gear (Lock-up clutch ON),37.3 km/h,38.0 km/h,Transmission | 4th gear,35.5 km/h,38.0 km/h,Transmission | 4th gear (Lock-up clutch ON),37.7 km/h,-,Transmission | 4th gear,33.8 km/h,37.0 km/h,,,,,,,,,,,,
,,,,,,,,Weights | Operating weight,"25,827– 26,489 lb  11715 – 12015 kg",,,,,,,,,,,,,,,,Transmission | 4th gear (Lock-up clutch ON),37.5 km/h,37.5 km/h,,,,Transmission | Measured with 26.5-R25 tyres,,,Transmission | 4th gear (Lock-up clutch ON),38.3 km/h,39.0 km/h,,,,Transmission | Measured with 29.5-R25 tyres,,,Transmission | 4th gear (Lock-up clutch ON),37.3 km/h,38.0 km/h,Transmission | Measured with 35/65-33 tyres,,,Transmission | 4th gear (Lock-up clutch ON),37.7 km/h,41.0 km/h,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Transmission | Measured with 23.5-R25 tyres,,,,,,Tyres | Standard tyres,26.5-R25 L3,,Transmission | Measured with 26.5-R25 tyres,,,,,,Tyres | Standard tyres,29.5-R25 (BS L5 VSDL),,Transmission | Measured with 29.5-R25 tyres,,,Tyres | Standard tyres,35/65-33-36PR L4 tubeless,,Transmission | Measured with 35/65-R33 tyres,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Tyres | Standard tyres,23.5-R25 L3,,,,,Weights | Operating weight,"24,560 kg",,Tyres | Standard tyres,26.5-R25 L3,,,,,Weights | Operating weight,"37,255 - 37,725 kg",,Tyres | Standard tyres,29.5-R25 (L5),,Weights | Operating weight,"52,320 - 54,000 kg",,Tyres | WA600-8 Standard tyres,35/65-R33 (L5),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Weights | Operating weight,"18,385 - 19,020 kg",,,,,,,,Weights | Operating weight,"24,670 kg",,,,,,,,Weights | Operating weight,"38,490 kg",,,,,Tyres | WA600-8LC Standard tyres,35/65-R33 (L4),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weights | Operating weight,"55,400 - 57,460 kg",,,,,,,,,,,,,
